horizon_bars,horizon_label,horizon_minutes,bin,n,push_mean,response_mean,response_se
12,1.0 hr,60,10,4465,0.5917824044184425,0.00642094225300429,0.017049315035576974
12,1.0 hr,60,11,4357,1.5839500722608106,-0.03120698348842709,0.024670978954563272
24,2.0 hr,120,1,2228,-1.6271418506782411,-0.05918111829344419,0.03497314013789687
24,2.0 hr,120,2,2211,-0.5849964980231277,0.019426470630279392,0.022969783137153577
24,2.0 hr,120,3,2234,-0.2656112689423246,0.018670044181195253,0.01954531160939946
24,2.0 hr,120,4,2302,-0.11093812358742919,-0.010081226967456556,0.015424894186338571
24,2.0 hr,120,5,2630,-0.03248338002919809,-0.0019686896987392796,0.009281950753714966
24,2.0 hr,120,6,1813,0.009508163327789441,0.005802359503966855,0.01212949431480713
24,2.0 hr,120,7,2231,0.053469969669831044,-0.0054519845064657235,0.010692918188521512
24,2.0 hr,120,8,2164,0.13864443268447613,0.00653701023134818,0.01479318021291764
24,2.0 hr,120,9,2177,0.29626421574782147,0.031772593492244317,0.019357659949581822
24,2.0 hr,120,10,2169,0.6144644156654693,0.033523818999492735,0.024983788316690892
24,2.0 hr,120,11,2198,1.615446228518046,0.0052534076724124745,0.029373179237360405
48,4.0 hr,240,1,1107,-1.6820413611101404,-0.03181190352294124,0.046722391763360654
48,4.0 hr,240,2,1110,-0.6050290003934274,0.016454573196894237,0.03545525411890423
48,4.0 hr,240,3,1121,-0.2709960684956385,0.015893989907017875,0.027402932872149885
48,4.0 hr,240,4,1148,-0.11615931250301265,0.009001576681872077,0.018211768295113475
48,4.0 hr,240,5,1183,-0.037240746609302,0.0075274498469907756,0.012908013860797334
48,4.0 hr,240,6,1045,0.0062702811392080825,0.030557262159686963,0.016391626329040856
48,4.0 hr,240,7,1046,0.05100426308631455,0.009037682218730154,0.014879238645205867
48,4.0 hr,240,8,1114,0.13703287350387747,0.020768052966504264,0.020987923082844175
48,4.0 hr,240,9,1095,0.3054920563105729,0.005858751764860303,0.02792103375367526
48,4.0 hr,240,10,1101,0.6385320778783565,0.02437565614836235,0.03519482277167446
48,4.0 hr,240,11,1105,1.6751265668542605,-0.021374756838376134,0.043317584707117766
96,8.0 hr,480,1,554,-1.6927481370621877,0.01079599432951757,0.06240089796246047
96,8.0 hr,480,2,558,-0.6274589192519159,-0.00217990167855543,0.04809377439062828
96,8.0 hr,480,3,562,-0.2841722544954359,-0.010705180688912186,0.03818028619655953
96,8.0 hr,480,4,540,-0.12507811509478453,-0.03590083994014851,0.027259666306887302
96,8.0 hr,480,5,579,-0.03938417250598111,0.03397081014958132,0.022307208065086934
96,8.0 hr,480,6,558,0.006756790680003764,0.03711259994652669,0.022172910938385453
96,8.0 hr,480,7,524,0.05728233511420278,0.01561369854046119,0.025391347125968026
96,8.0 hr,480,8,555,0.15124444848685206,-0.03316628607008295,0.03191681396617551
96,8.0 hr,480,9,552,0.3344163057553775,-0.018735140003630132,0.043540118052519186
96,8.0 hr,480,10,553,0.6859502024330486,0.14405173299538032,0.047204967172320575
96,8.0 hr,480,11,552,1.6980492191674728,-0.03408716541412061,0.06605217865735398
192,16.0 hr,960,1,278,-1.7106717671326144,0.011143510759674619,0.10153040843823723
192,16.0 hr,960,2,276,-0.6710093369991104,-0.05711552775891672,0.0644256760026333
192,16.0 hr,960,3,278,-0.32010968495769276,-0.01706593605852267,0.05867350221751821
192,16.0 hr,960,4,275,-0.15358841832988043,0.05849174249099141,0.041084528604959834
192,16.0 hr,960,5,277,-0.05537124439580413,0.029445301574887367,0.032546441449693944
192,16.0 hr,960,6,290,0.0026768251672122504,0.022211423713054203,0.02930757981182438
192,16.0 hr,960,7,271,0.06560369459834214,-0.0395434129910397,0.03829577211589446
192,16.0 hr,960,8,268,0.1679737989169156,0.0329130566854367,0.050298253712402256
192,16.0 hr,960,9,276,0.35031990789189904,0.023717464916838297,0.05063902408553096
192,16.0 hr,960,10,277,0.7367582031506679,0.10226995845797532,0.06741902011187077
192,16.0 hr,960,11,276,1.7849845204124855,0.029368841002924428,0.07630624938760258
